date,side,shares,price,value,lot_id,realized_pnl_before_tax,realized_pnl_after_tax,reason,event_type
2015-04-09,SELL,8,8518.296,68146.368,47,1738.102904109594,1385.00729913973,take_profit,take_profit
2015-04-09,SELL,5,8518.296,42591.48,52,1326.786164383565,1057.2495550890437,take_profit,take_profit
2015-04-10,SELL,1,8638.272,8638.272,53,220.28143835616615,175.531264154111,take_profit,take_profit
2015-04-14,BUY,1,8486.697,8486.697,54,0.0,0.0,buy_signal,buy
2015-04-15,BUY,1,8511.702,8511.702,55,0.0,0.0,buy_signal,buy
2015-04-16,BUY,3,8521.704,25565.112,56,0.0,0.0,buy_signal,buy
2015-04-17,BUY,4,8486.697,33946.788,57,0.0,0.0,buy_signal,buy
2015-04-20,BUY,10,8251.65,82516.5,58,0.0,0.0,buy_signal,buy
2015-04-21,BUY,11,8401.68,92418.48000000001,59,0.0,0.0,buy_signal,buy
2015-04-22,SELL,10,8633.273000000001,86332.73000000001,58,3803.28095890412,3030.644432102748,take_profit,take_profit
2015-04-22,SELL,11,8633.273000000001,94966.00300000001,59,2540.303986301371,2024.2412314842475,take_profit,take_profit
2015-04-22,BUY,3,8636.726999999999,25910.180999999997,60,0.0,0.0,buy_signal,buy
2015-04-23,SELL,1,8838.232,8838.232,54,346.96141095890397,276.4762003226026,take_profit,take_profit
2015-04-23,SELL,1,8838.232,8838.232,55,322.6134520547952,257.07452926986355,take_profit,take_profit
2015-04-23,SELL,3,8838.232,26514.696,56,939.7962739726016,748.8766609150676,take_profit,take_profit
2015-04-23,SELL,4,8838.232,35352.928,57,1395.713260273972,1112.1741114493148,take_profit,take_profit
2015-04-23,BUY,1,8841.768,8841.768,61,0.0,0.0,buy_signal,buy
2015-04-24,SELL,3,8748.25,26244.75,60,330.5266438356196,263.3801561404135,take_profit,take_profit
2015-04-24,BUY,1,8751.75,8751.75,62,0.0,0.0,buy_signal,buy
2015-04-27,BUY,2,8701.74,17403.48,63,0.0,0.0,buy_signal,buy
2015-04-28,BUY,2,8701.74,17403.48,64,0.0,0.0,buy_signal,buy
2015-04-30,BUY,3,8451.69,25355.07,65,0.0,0.0,buy_signal,buy
2015-05-01,BUY,20,8226.645,164532.90000000002,66,0.0,0.0,buy_signal,buy
2015-05-07,BUY,20,8076.615,161532.3,67,0.0,0.0,buy_signal,buy
2015-05-08,BUY,23,8086.617,185992.191,68,0.0,0.0,buy_signal,buy
2015-05-11,BUY,20,8316.663,166333.26,69,0.0,0.0,buy_signal,buy
2015-05-12,SELL,20,8258.348,165166.96,67,3597.186027397264,2866.41768593151,take_profit,take_profit
2015-05-12,SELL,23,8258.348,189942.004,68,3920.8682876712273,3124.3438950308173,take_profit,take_profit
2015-05-12,BUY,11,8261.652,90878.172,70,0.0,0.0,buy_signal,buy
2015-05-13,BUY,7,8241.648,57691.53599999999,71,0.0,0.0,buy_signal,buy
