label,category,initial_amount,bulk_exit_yen,bulk_exit_pct,n_trading_days,net_profit_after_tax,realized_after_tax,ending_unrealized_pnl,final_equity,annualized_return,sharpe_like,max_drawdown_equity,max_unrealized_loss,total_interest_paid,total_tax_paid,buy_trade_count,sell_trade_count,harvest_days,bulk_exit_count,avg_profit_per_harvest_day,median_profit_per_harvest_day,win_rate_closed_lots,profit_factor,max_consecutive_days_without_take_profit,max_lot_holding_days,days_underwater,pct_days_underwater,max_consecutive_underwater_days,margin_call_count,exposure_limit_hit_count,max_gross_exposure,average_gross_exposure,comfort_score
bulk_yen__init1000000__yen100000,bulk_yen,1000000.0,100000.0,,3032,4945075.184071077,4911144.573605323,33930.610465753416,104945075.18407108,0.004019689068240684,0.4042465254150746,2005608.331767127,1908253.841547945,313175.0240547908,1252053.7367483485,1393,46,46,46,106764.01246968094,92001.12407366544,0.7677929547088426,4.850605532698195,245,244,1244,0.4102902374670185,220,0,0,6454120.0,1346457.8281662269,-1.463835870669322
bulk_yen__init1000000__yen300000,bulk_yen,1000000.0,300000.0,,3032,6549295.387076915,6515364.776611161,33930.610465753416,106549295.38707691,0.0052864390117572935,0.4492536008148744,2704005.8181780875,2418116.8564657527,494919.60268491565,1661035.771310231,1052,24,24,24,271473.5323587984,269099.7165861825,0.7933333333333333,7.890922984124243,435,434,1161,0.3829155672823219,244,0,0,7199920.0,2127846.482519789,-0.9786333757460359
bulk_yen__init1000000__yen500000,bulk_yen,1000000.0,500000.0,,3032,7250218.627144306,7216288.016678552,33930.610465753416,107250218.6271443,0.005834431755971536,0.4633418286950316,2704005.8181780875,2418116.8564657527,587895.398520529,1839730.0754072256,892,16,16,16,451018.0010424095,455945.76190556464,0.8101123595505618,10.905135923244988,439,438,1070,0.3529023746701847,244,0,0,7387830.0,2527584.579485488,-0.831873231823459
bulk_yen__init1000000__yen1000000,bulk_yen,1000000.0,1000000.0,,3032,9786866.527159229,9752935.916693475,33930.610465753416,109786866.52715923,0.007790553206592055,0.5351599638960216,2691049.1326301396,2424306.645753424,750817.8443835236,2486426.468565325,745,11,11,11,886630.537881225,858427.7321200079,0.8532974427994616,40.14431752084132,562,561,1293,0.42645118733509235,244,0,0,8043750.0,3228049.7691292875,-1.043201534617192
bulk_yen__init1000000__yen2000000,bulk_yen,1000000.0,2000000.0,,3032,11565963.852015581,10086505.56091969,1479458.29109589,111565963.85201558,0.009137919737951083,0.5255480529678057,3344850.309438348,1856356.922068494,958157.0262465606,2571467.1578099206,533,6,6,6,1681084.2601532817,1654839.1044656395,0.9644970414201184,453.4733137667098,636,635,961,0.3169525065963061,135,0,0,8994375.0,4119479.2991424804,0.07826196175031597
bulk_yen__init1000000__yen5000000,bulk_yen,1000000.0,5000000.0,,3032,16934436.649528287,15995986.448377604,938450.201150685,116934436.6495283,0.013087437414063041,0.6253747984385266,4479431.922876716,3010763.890178082,1179813.527890455,4078038.0836894144,400,4,4,4,3998996.612094401,3919878.4983311957,1.0,inf,781,780,1118,0.3687335092348285,142,0,0,12514950.0,5072464.399736147,-0.057809856250085945
bulk_yen__init1000000__yen10000000,bulk_yen,1000000.0,10000000.0,,3032,17847159.82825201,16472222.239046529,1374937.5892054792,117847159.828252,0.013742323581612537,0.45716078325940646,7608888.1816301495,1856356.922068494,1682674.6255890927,4199450.270267054,232,2,2,2,8236111.1195232645,8236111.1195232645,1.0,inf,1516,1515,600,0.19788918205804748,142,0,0,18303975.0,7234454.371701847,0.26150911010113687
bulk_yen__init2000000__yen100000,bulk_yen,2000000.0,100000.0,,3032,5128923.214705087,5094992.604239333,33930.610465753416,105128923.21470508,0.004165759378008671,0.41878588531162286,2005608.331767127,1908253.841547945,313571.4656986266,1298924.1984705036,1392,46,46,46,110760.7087878116,92001.12407366544,0.7676258992805756,4.994752428258893,245,244,1244,0.4102902374670185,220,0,0,6454120.0,1348162.2806728233,-1.4293130291821203
bulk_yen__init2000000__yen300000,bulk_yen,2000000.0,300000.0,,3032,6582878.162204829,6548947.551739075,33930.610465753416,106582878.16220483,0.005312769834058706,0.45111917830088905,2704005.8181780875,2418116.8564657527,493563.19715066813,1669597.4087165631,1051,24,24,24,272872.8146557948,273186.58807291964,0.7931363203050524,7.926441535262067,435,434,1161,0.3829155672823219,244,0,0,7199920.0,2122014.7823218997,-0.9697713867750388
bulk_yen__init2000000__yen500000,bulk_yen,2000000.0,500000.0,,3032,7664214.894978633,7630284.284512879,33930.610465753416,107664214.89497863,0.0061565599603843335,0.4909288630575583,2691049.1326301396,2424306.645753424,586732.5769314881,1945274.8351619393,888,17,17,17,448840.25203016936,445352.2865058228,0.8148984198645598,11.34764089565302,423,422,1081,0.3565303430079156,244,0,0,7380360.0,2522585.1698548812,-0.8026701024741252
bulk_yen__init2000000__yen1000000,bulk_yen,2000000.0,1000000.0,,3032,9843647.495478712,9809716.885012958,33930.610465753416,109843647.4954787,0.007833863495483762,0.5360916293062878,2704005.8181780875,2418116.8564657527,754112.2913972229,2500902.284232142,746,11,11,11,891792.4440920871,858427.7321200079,0.8548387096774194,41.57243996895584,562,561,1291,0.4257915567282322,244,0,0,8051875.0,3242213.842348285,-1.0402909773863451
bulk_yen__init2000000__yen2000000,bulk_yen,2000000.0,2000000.0,,3032,11600498.001607802,10121039.710511912,1479458.29109589,111600498.0016078,0.00916387810040753,0.5280815198926897,4480673.275123298,3062553.880013699,970098.1505753115,2580271.3398889313,514,6,6,6,1686839.9517519854,1651238.4938702262,0.9569672131147541,974.2307759006036,741,740,1205,0.39742744063324537,236,0,0,9685535.0,4170818.7071240107,-0.9622166750229193
bulk_yen__init2000000__yen5000000,bulk_yen,2000000.0,5000000.0,,3032,16864266.12355109,15925815.922400406,938450.201150685,116864266.12355109,0.013036895686338479,0.6166336881540548,4480673.275123283,3063107.8860821924,1184105.2861918136,4060148.716365241,401,4,4,4,3981453.9806001014,3984047.8667276036,1.0,inf,769,768,1094,0.3608179419525066,142,0,0,12683925.0,5090916.291226913,-0.04280426468759213
