label,category,initial_amount,bulk_exit_yen,bulk_exit_pct,n_trading_days,net_profit_after_tax,realized_after_tax,ending_unrealized_pnl,final_equity,annualized_return,sharpe_like,max_drawdown_equity,max_unrealized_loss,total_interest_paid,total_tax_paid,buy_trade_count,sell_trade_count,harvest_days,bulk_exit_count,avg_profit_per_harvest_day,median_profit_per_harvest_day,win_rate_closed_lots,profit_factor,max_consecutive_days_without_take_profit,max_lot_holding_days,days_underwater,pct_days_underwater,max_consecutive_underwater_days,margin_call_count,exposure_limit_hit_count,max_gross_exposure,average_gross_exposure,comfort_score
combo__init0__yen5000000__pct0.12,combo,0.0,5000000.0,0.12,3032,13169550.970249938,13169550.970249938,0,113169550.97024994,0.010335591125582466,0.31117666552080214,6416700.215780824,6223001.412452055,1581784.5392328845,3357462.8595171915,534,24,24,24,548731.2904270807,475712.92903806176,0.8445692883895131,25.191648307234423,572,572,1578,0.5204485488126649,346,0,360,14994600.0,6800689.747691293,-2.1962007269489385
combo__init0__yen5000000__pct0.15,combo,0.0,5000000.0,0.15,3032,13380007.885941638,13380007.885941638,0,113380007.88594164,0.01049161843852886,0.308948080353271,6416700.215780824,6223001.412452055,1688607.4512328901,3411117.025825491,431,18,18,18,743333.7714412021,758616.8931966472,0.8538283062645011,61.15709515981241,637,637,1589,0.5240765171503958,346,0,399,15885700.0,7259961.832124011,-2.2843132171296623
combo__init0__yen5000000__pct0.2,combo,0.0,5000000.0,0.2,3032,15661095.033901956,15661095.033901956,0,115661095.03390196,0.01216593053578685,0.34753390646558907,6709064.6870958805,6223001.412452055,1792064.1825205453,3992660.4205775014,398,13,13,13,1204699.6179924582,1689869.6709661717,0.9321608040201005,901.129921674579,641,641,1676,0.5527704485488126,346,0,415,16031560.0,7704761.433047493,-2.394309185212595
combo__init0__yen5000000__pct0.25,combo,0.0,5000000.0,0.25,3032,16771597.933776017,16771597.933776017,0,116771597.93377602,0.012970106911272206,0.35872906348520756,8530338.519726023,5914768.58361644,1879827.2517260073,4275773.508497958,360,11,11,11,1524690.7212523653,2009238.1603695997,0.9972222222222222,54547.76703472046,631,631,1613,0.5319920844327177,346,0,423,17189200.0,8082088.047493404,-2.3457789358446917
combo__init0__yen10000000__pct0.03,combo,0.0,10000000.0,0.03,3032,10273853.029888274,10273853.029888274,0,110273853.02988827,0.008161342007451111,0.3447091434947853,4596075.667013705,4596075.667013698,571965.5924931535,2668263.430618593,1276,144,144,144,71346.20159644635,24856.483773118944,0.7931034482758621,5.785894094984307,102,102,1354,0.4465699208443272,85,0,117,12848050.0,2459096.3209102903,0.18712721434086088
combo__init0__yen10000000__pct0.05,combo,0.0,10000000.0,0.05,3032,13218159.390685383,13218159.390685383,0,113218159.39068538,0.010371651763903644,0.3822525048442673,6416700.215780824,6223001.412452055,856803.8133698463,3369855.1549447654,1069,75,75,75,176242.12520913844,115318.91600690004,0.8475210477081384,8.52228303244593,331,331,1527,0.5036279683377308,247,0,149,13828800.0,3683723.5191292875,-1.2702382344406933
combo__init0__yen10000000__pct0.08,combo,0.0,10000000.0,0.08,3032,13573665.482197197,13573665.482197197,0,113573665.4821972,0.010634956749129731,0.3436198628982405,6416700.215780824,6223001.412452055,1230672.8015342639,3460488.3512685695,756,42,42,42,323182.5114808857,277237.7789307965,0.8293650793650794,13.104809271666625,491,491,1589,0.5240765171503958,346,0,262,14291100.0,5291127.645118734,-1.9496414345846933
combo__init0__yen10000000__pct0.1,combo,0.0,10000000.0,0.1,3032,14478338.605124464,14478338.605124464,0,114478338.60512446,0.011301608351479864,0.34542494974209814,6416700.215780824,6223001.412452055,1504468.4460821927,3691126.921793355,606,30,30,30,482611.2868374821,440012.5421346753,0.8415841584158416,22.981394425148878,567,567,1593,0.5253957783641161,346,0,315,14994600.0,6468278.632915568,-2.101794131381996
combo__init0__yen10000000__pct0.12,combo,0.0,10000000.0,0.12,3032,13169550.970249938,13169550.970249938,0,113169550.97024994,0.010335591125582466,0.31117666552080214,6416700.215780824,6223001.412452055,1581784.5392328845,3357462.8595171915,534,24,24,24,548731.2904270807,475712.92903806176,0.8445692883895131,25.191648307234423,572,572,1578,0.5204485488126649,346,0,360,14994600.0,6800689.747691293,-2.1962007269489385
combo__init0__yen10000000__pct0.15,combo,0.0,10000000.0,0.15,3032,13380007.885941638,13380007.885941638,0,113380007.88594164,0.01049161843852886,0.308948080353271,6416700.215780824,6223001.412452055,1688607.4512328901,3411117.025825491,431,18,18,18,743333.7714412021,758616.8931966472,0.8538283062645011,61.15709515981241,637,637,1589,0.5240765171503958,346,0,399,15885700.0,7259961.832124011,-2.2843132171296623
combo__init0__yen10000000__pct0.2,combo,0.0,10000000.0,0.2,3032,15661095.033901956,15661095.033901956,0,115661095.03390196,0.01216593053578685,0.34753390646558907,6709064.6870958805,6223001.412452055,1792064.1825205453,3992660.4205775014,398,13,13,13,1204699.6179924582,1689869.6709661717,0.9321608040201005,901.129921674579,641,641,1676,0.5527704485488126,346,0,415,16031560.0,7704761.433047493,-2.394309185212595
combo__init0__yen10000000__pct0.25,combo,0.0,10000000.0,0.25,3032,16771597.933776017,16771597.933776017,0,116771597.93377602,0.012970106911272206,0.35872906348520756,8530338.519726023,5914768.58361644,1879827.2517260073,4275773.508497958,360,11,11,11,1524690.7212523653,2009238.1603695997,0.9972222222222222,54547.76703472046,631,631,1613,0.5319920844327177,346,0,423,17189200.0,8082088.047493404,-2.3457789358446917
combo__init500000__yen100000__pct0.03,combo,500000.0,100000.0,0.03,3032,8076525.523389243,8076525.523389243,0,108076525.52338925,0.006476249762139785,0.28409741915783804,4596075.667013705,4596075.667013698,491220.38767123444,2185790.6379395453,1324,153,153,153,52787.74851888394,18335.6502422282,0.763595166163142,3.6164480106010815,70,70,1297,0.4277704485488127,68,0,89,12848050.0,2111942.158641161,0.2250422764232799
combo__init500000__yen100000__pct0.05,combo,500000.0,100000.0,0.05,3032,9096486.278019102,9096486.278019102,0,109096486.2780191,0.007262308877332702,0.2948594610482503,4610379.083103135,4596075.667013698,601308.3976986305,2399529.1242822832,1198,94,94,94,96771.1306172245,67186.56763849844,0.7779632721202003,4.18967849747839,221,220,1410,0.4650395778364116,118,0,110,12848050.0,2585252.133905013,-0.37791155588279857
combo__init500000__yen100000__pct0.08,combo,500000.0,100000.0,0.08,3032,9122315.555469912,9122315.555469912,0,109122315.55546992,0.00728212726355304,0.2947161406568217,4610379.083103135,4596075.667013698,605523.5978630139,2406114.074667089,1192,81,81,81,112621.1796971594,89028.24323802584,0.7600671140939598,4.107028769376478,221,220,1388,0.4577836411609499,118,0,110,12848050.0,2603374.873021108,-0.43953682084816714
combo__init500000__yen100000__pct0.1,combo,500000.0,100000.0,0.1,3032,8998434.776975937,8998434.776975937,0,108998434.77697593,0.007187036363752508,0.29003949790917094,4610379.083103135,4596075.667013698,608097.0659726051,2374531.744051476,1186,78,78,78,115364.54842276842,93154.76325728258,0.7529510961214165,4.0606466145512305,221,220,1371,0.45217678100263853,118,0,110,12848050.0,2614439.1853562007,-0.451176039492839
