combo,n_components,tp_pct,n_trades,n_signals_raw,hit_rate,avg_days_to_tp,avg_win_return,failure_mean,failure_median,avg_mfe,avg_mae,expected_value
DD<=-10 + STREAK>=5 + RET5<-3,3,15,2,24,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
BB<20 + DD<=-10 + STREAK>=5,3,15,2,41,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
DD<=-10 + STREAK>=5,2,15,2,147,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
RSI<40 + STREAK>=5 + RET5<-3,3,15,2,21,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
BB<20 + STREAK>=5 + RET5<-3,3,15,2,22,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
BB<20 + STREAK>=5 + RET20<-5,3,15,2,25,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
BB<20 + STREAK>=5 + vsMA75<-5,3,15,2,28,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
STREAK>=5 + RET5<-3,2,15,2,24,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
BB<20 + STREAK>=5,2,15,2,41,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
STREAK>=5 + RET20<-5,2,15,2,56,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
STREAK>=5 + vsMA75<-5,2,15,2,52,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
RSI<40 + STREAK>=5 + vsMA75<-5,3,15,2,26,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
STREAK>=5,1,15,2,147,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
RSI<40 + STREAK>=5 + RET20<-5,3,15,2,29,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
RSI<40 + BB<20 + STREAK>=5,3,15,2,31,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
RSI<40 + STREAK>=5,2,15,2,37,50.0000,215.0000,14.7851,4.7508,4.7508,13.1938,-9.6571,9.7679
STREAK>=10 + RET20<-5 + vsMA75<-5,3,10,2,21,100.0000,42.0000,9.7477,0.0000,0.0000,10.2762,-9.7988,9.7477
vsMA75<-5 + GOLDEN,2,10,5,25,100.0000,64.4000,9.7291,0.0000,0.0000,10.5578,-5.9250,9.7291
RSI<35 + GOLDEN,2,10,4,29,100.0000,117.5000,9.6843,0.0000,0.0000,10.3732,-5.8883,9.6843
RSI<35 + RSI<40 + GOLDEN,3,10,4,29,100.0000,117.5000,9.6843,0.0000,0.0000,10.3732,-5.8883,9.6843
RSI<35 + BB<10 + GOLDEN,3,10,4,20,100.0000,117.5000,9.6843,0.0000,0.0000,10.3732,-5.8883,9.6843
RSI<35 + BB<20 + GOLDEN,3,10,4,27,100.0000,117.5000,9.6843,0.0000,0.0000,10.3732,-5.8883,9.6843
RSI<35 + BB<20 + BB<10,3,20,4,42,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
RSI<35 + BB<20 + RET5<-3,3,20,4,38,50.0000,120.0000,19.9415,-0.6150,-0.6150,16.5784,-8.2219,9.6633
