date,target_open,target_close,benchmark_close,buy_amount,buy_shares,sell_value,realized_pnl_before_tax,realized_pnl_after_tax,tax,interest,gross_exposure,cash,equity,unrealized_pnl,margin_ratio,selected_params_id,events
2016-04-07,5045.0,5050.0,15749.83984375,141288.252,28,0.0,0.0,0.0,0.0,183.23890410957392,2388650.0,100624414.50603165,99490029.0735385,-1134385.4324931507,41.65115402990748,3,
2016-04-08,4900.0,5105.0,15821.51953125,137227.44,28,0.0,0.0,0.0,0.0,196.19983561642584,2557605.0,100624414.50603165,99521560.43370289,-1102854.0723287673,38.91201355709849,3,
2016-04-11,5065.0,5070.0,15751.1298828125,55726.143,11,141791.636,4553.230739726024,3628.2419149506823,924.9888247753418,188.24284931506554,2453880.0,100628042.74794659,99502787.69502878,-1125255.0529178085,40.54916609411576,3,
2016-04-12,5040.0,5170.0,15928.7900390625,80656.128,16,0.0,0.0,0.0,0.0,198.3013698630166,2585000.0,100628042.74794659,99553053.26565892,-1074989.4822876714,38.51181944512918,3,
2016-04-13,5330.0,5465.0,16381.2197265625,0.0,0,0.0,0.0,0.0,0.0,209.61643835614814,2732500.0,100628042.74794659,99700343.64922056,-927699.0987260273,36.48685952395995,3,
2016-04-14,5635.0,5810.0,16911.05078125,0.0,0,467611.45900000003,48644.47808219184,38762.35235979457,9882.125722397272,185.85632876712043,2422770.0,100666805.10030639,99848157.1261694,-818647.9741369863,41.21239619368301,3,
2016-04-15,5700.0,5760.0,16848.029296875,0.0,0,273545.27999999997,20491.231890410927,16328.438131873949,4162.79375853698,163.04745205479412,2125440.0,100683133.53843826,99820046.56495881,-863086.9734794523,46.96441516342913,3,
2016-04-18,5410.0,5390.0,16275.9501953125,0.0,0,0.0,0.0,0.0,0.0,152.57391780822945,1988910.0,100683133.53843826,99683363.991041,-999769.5473972603,50.11959515063075,3,
2016-04-19,5690.0,5790.0,16874.439453125,0.0,0,0.0,0.0,0.0,0.0,163.89665753424197,2136510.0,100683133.53843826,99830800.09438346,-852333.4440547946,46.726109446893986,3,
2016-04-20,5900.0,5810.0,16906.5390625,0.0,0,0.0,0.0,0.0,0.0,164.46279452055023,2143890.0,100683133.53843826,99838015.63158895,-845117.9068493152,46.56862788276868,3,
2016-04-21,6030.0,6105.0,17363.619140625,0.0,0,0.0,0.0,0.0,0.0,172.81331506850256,2252745.0,100683133.53843826,99946697.81827387,-736435.7201643835,44.366627300592775,3,
2016-04-22,6005.0,6260.0,17572.490234375,0.0,0,0.0,0.0,0.0,0.0,177.20087671232614,2309940.0,100683133.53843826,100003715.61739716,-679417.9210410959,43.29277627011834,3,
2016-04-25,6300.0,6170.0,17439.30078125,0.0,0,0.0,0.0,0.0,0.0,174.65326027396804,2276730.0,100683133.53843826,99970330.96413688,-712802.57430137,43.909612015538464,3,
2016-04-26,6130.0,6095.0,17353.279296875,0.0,0,0.0,0.0,0.0,0.0,172.53024657533388,2249055.0,100683133.53843826,99942483.43389031,-740650.1045479453,44.43754529519745,3,
2016-04-27,6135.0,6080.0,17290.490234375,0.0,0,0.0,0.0,0.0,0.0,172.10564383563178,2243520.0,100683133.53843826,99936776.32824647,-746357.2101917809,44.54463357948513,3,
2016-04-28,6185.0,5615.0,16666.05078125,0.0,0,0.0,0.0,0.0,0.0,158.94295890409558,2071935.0,100683133.53843826,99765032.38528758,-918101.1531506849,48.15065742182433,3,
2016-05-02,5180.0,5275.0,16147.3798828125,0.0,0,0.0,0.0,0.0,0.0,149.31863013697148,1946475.0,100683133.53843826,99639423.06665744,-1043710.4717808219,51.18967521630508,3,
