date,side,shares,price,value,lot_id,realized_pnl_before_tax,realized_pnl_after_tax,reason,event_type
2017-05-09,SELL,53,7898.42,418616.26,238,19813.164972602735,15788.12050841849,take_profit,take_profit
2017-05-19,BUY,6,7646.5289999999995,45879.174,261,0.0,0.0,buy_signal,buy
2017-05-22,BUY,5,7711.5419999999995,38557.71,262,0.0,0.0,buy_signal,buy
2017-05-23,SELL,6,7678.464,46070.784,261,184.5401917808225,147.05085182054842,take_profit,take_profit
2017-05-23,BUY,3,7681.536,23044.608,263,0.0,0.0,buy_signal,buy
2017-05-24,BUY,6,7786.557,46719.342,264,0.0,0.0,buy_signal,buy
2017-05-25,SELL,3,7743.451,23230.353,263,182.19628767123186,145.1831118308211,take_profit,take_profit
2017-05-25,BUY,2,7746.549,15493.098,265,0.0,0.0,buy_signal,buy
2017-05-26,SELL,5,7798.4400000000005,38992.200000000004,262,422.6206849315121,336.7652927876754,take_profit,take_profit
2017-05-26,SELL,2,7798.4400000000005,15596.880000000001,265,102.58298630137092,81.74325263424743,take_profit,take_profit
2017-05-26,BUY,1,7801.5599999999995,7801.5599999999995,266,0.0,0.0,buy_signal,buy
2017-05-29,BUY,3,7716.543,23149.629,267,0.0,0.0,buy_signal,buy
2017-05-30,BUY,6,7711.5419999999995,46269.25199999999,268,0.0,0.0,buy_signal,buy
2017-05-31,BUY,6,7661.532,45969.192,269,0.0,0.0,buy_signal,buy
2017-06-01,BUY,12,7706.541,92478.492,270,0.0,0.0,buy_signal,buy
2017-06-02,SELL,6,7918.416,47510.496,264,766.1795342465776,610.5301618643854,take_profit,take_profit
2017-06-02,SELL,3,7918.416,23755.248,267,598.4928082191768,476.9089942294511,take_profit,take_profit
2017-06-02,SELL,6,7918.416,47510.496,268,1230.5449315068554,980.5597286712377,take_profit,take_profit
2017-06-02,SELL,6,7918.416,47510.496,269,1534.153643835613,1222.4903310904083,take_profit,take_profit
2017-06-02,SELL,12,7918.416,95020.992,270,2535.273698630137,2020.2328467534248,take_profit,take_profit
