final_equity,max_drawdown_pct,min_equity,forced_liquidations,ruined
8133978.064123478,0.2300835995119263,4252823.280604353,0,0.0
6552377.880750623,0.09901557107621241,4672997.630323338,0,0.0
8183764.819021402,0.18034611056341407,4556895.531342088,0,0.0
8654525.579136852,0.13789654575947954,4900325.783311103,0,0.0
7987246.187113582,0.34219914113810856,3496253.043590591,0,0.0
7563600.821412871,0.15782441281025336,4575097.103622214,0,0.0
7350521.495586818,0.1274586044622801,4890197.425255205,0,0.0
8040502.824349867,0.17396415408225885,4832478.230577948,0,0.0
5937870.188521942,0.3536432627959033,3964389.312145276,0,0.0
7506055.932838986,0.04714412890339753,4863192.65750988,0,0.0
7943436.290782278,0.18822783639491386,4661780.039974232,0,0.0
7412677.545904788,0.5415713340735437,2522631.952733515,0,0.0
7674450.166988877,0.5058596553199372,3080374.064850009,0,0.0
7391902.423891936,0.19069398459072456,4929134.675942607,0,0.0
7709834.920188615,0.4345554880352519,3740730.6488586296,0,0.0
7313283.189346715,0.1644710463497766,4991545.21559523,0,0.0
8517567.529626278,0.2831170746212781,4019165.739351551,0,0.0
8221034.99409834,0.12254760015461087,4928912.050235236,0,0.0
7128289.036405414,0.5550357660641986,2497613.3854349228,0,0.0
7916787.878260875,0.137384859990367,4491741.277534299,0,0.0
8217431.15609266,0.1659143326736723,4675699.312806796,0,0.0
8399055.550285395,0.3075794033334837,4078645.1308342344,0,0.0
7531181.690622525,0.44125540704333116,3213899.918948816,0,0.0
8071677.855302265,0.10504485698584454,4744117.630161006,0,0.0
7886545.866849934,0.16082985880678363,4838693.259673984,0,0.0
7053363.525898816,0.11074679442914011,4898130.551137009,0,0.0
8165952.121193331,0.13372574433248108,4897151.050828643,0,0.0
7883608.167027856,0.381369640506058,3707078.774704444,0,0.0
8620572.813292122,0.11094075369465678,4609483.2243857365,0,0.0
7848756.228461666,0.1931084055283779,4813756.575039642,0,0.0
7283651.8164190315,0.4627499434198137,3605299.962027991,0,0.0
5438556.939741184,0.5771684540227457,2758048.7832964864,0,0.0
8499944.696259618,0.13230320866719822,4986447.371970754,0,0.0
7978059.873967897,0.22848020033430136,4728189.57062179,0,0.0
7702011.955953848,0.48490330357042016,3186018.3414199213,0,0.0
8264006.024542011,0.34445361881685227,3476563.608104935,0,0.0
8055730.792315543,0.38575819381070703,4110132.1066676895,0,0.0
7632700.538751551,0.5170934974035698,2515492.902729683,0,0.0
7516578.793257981,0.23956776225940107,3809551.6670234064,0,0.0
7940712.866390584,0.13473929422070074,5000000.0,0,0.0
7679858.746220289,0.22873084330843169,4007346.313245398,0,0.0
6811904.3834494045,0.15247984327252648,4981894.172537566,0,0.0
8113076.461138156,0.15018349843318896,4818275.725641558,0,0.0
7406910.674549803,0.09370969780847503,4951168.129897479,0,0.0
8253260.279550823,0.2650117861418345,4172436.0084154997,0,0.0
8019502.5168667445,0.0883880840715195,4914647.3775037145,0,0.0
6697777.467635764,0.03378037749265081,4879037.074163008,0,0.0
8389765.36141607,0.17880549768568613,4985617.760755054,0,0.0
7707228.582044062,0.2294486109059146,4518243.712782477,0,0.0
8506549.723143583,0.3034005866170094,3811357.7600591574,0,0.0
7427083.371691601,0.24500667742491683,4812392.445586828,0,0.0
2479867.517446516,0.7251821391502361,1906102.2889475608,0,0.0
7679975.524023624,0.22545155645499568,4241573.986308572,0,0.0
7624500.353067078,0.10410967551725782,4783026.479968875,0,0.0
3690949.3914379533,0.5378414003304317,3320908.115840695,0,0.0
6569093.960091978,0.34931986437199924,4328859.451238407,0,0.0
6884445.744103858,0.17653318313966132,4955675.506303417,0,0.0
7165460.042273397,0.11452470364809833,4956503.081800294,0,0.0
8207747.938404807,0.20049030780690028,4038792.0421511643,0,0.0
7862561.5875250045,0.41143503064919146,3599878.786618291,0,0.0
7410062.743863683,0.15033438693926832,4387643.2759283185,0,0.0
8085364.04962808,0.39312928491715293,3758833.9506405755,0,0.0
7460400.476621059,0.1281990752314483,4596325.408428917,0,0.0
6534921.979305809,0.3290369098041897,3929086.028983862,0,0.0
7863238.917415419,0.08974128647529533,4951272.004401475,0,0.0
6892661.082065978,0.2945090743734334,4706195.153852314,0,0.0
7897061.241357667,0.5974632655944194,2026576.021888068,0,0.0
7516273.835006123,0.3214379193178983,3503200.6388842887,0,0.0
8304143.66529727,0.12421377632050297,4623446.635783157,0,0.0
7971380.214659003,0.34175458751545595,3638306.510597444,0,0.0
